epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4539.25,1.48242,1.64004,2.05095,0.5763,0.59412,0.60765,0.31177,1.5515,1.66332,2.03507,0.00107205,0.00107205,0.00107205
43,4642.48,1.46706,1.61993,2.02001,0.63069,0.58498,0.62601,0.32261,1.58282,1.65964,2.06993,0.00104705,0.00104705,0.00104705
44,4747.73,1.45506,1.62499,2.00768,0.60616,0.60247,0.63809,0.33973,1.553,1.5976,2.03822,0.00102184,0.00102184,0.00102184
45,4852.46,1.43854,1.59323,2.00273,0.61634,0.59195,0.62828,0.3404,1.52412,1.7016,2.01082,0.000996456,0.000996456,0.000996456
46,4956.81,1.42575,1.5776,1.99809,0.58819,0.62739,0.63675,0.33456,1.55225,1.64098,2.0274,0.000970919,0.000970919,0.000970919
47,5061.57,1.42399,1.56225,1.98386,0.62782,0.6212,0.66128,0.35156,1.52173,1.71259,2.0033,0.000945256,0.000945256,0.000945256
48,5166.21,1.42582,1.52137,1.98813,0.66628,0.57629,0.6555,0.35634,1.52259,1.59301,1.99069,0.00091949,0.00091949,0.00091949
49,5270.58,1.40885,1.51946,1.9623,0.6805,0.61574,0.6974,0.37591,1.5233,1.52238,1.98547,0.000893648,0.000893648,0.000893648
50,5375.15,1.39353,1.48475,1.94544,0.65942,0.64918,0.69271,0.38089,1.50403,1.5086,1.97668,0.000867754,0.000867754,0.000867754
51,5479.25,1.39638,1.46243,1.94962,0.66518,0.65582,0.70045,0.39251,1.49132,1.51538,1.94969,0.000841835,0.000841835,0.000841835
52,5583.55,1.3933,1.45871,1.95545,0.6982,0.64984,0.71407,0.40741,1.44887,1.45189,1.91562,0.000815916,0.000815916,0.000815916
53,5687.8,1.37784,1.44768,1.93899,0.70887,0.64468,0.71985,0.39572,1.50365,1.44032,1.96299,0.000790022,0.000790022,0.000790022
54,5791.88,1.37596,1.43567,1.9289,0.72393,0.65942,0.73134,0.41639,1.46382,1.40689,1.92557,0.00076418,0.00076418,0.00076418
55,5896.2,1.36174,1.3891,1.90818,0.69728,0.6646,0.72969,0.40534,1.51498,1.44435,1.97188,0.000738414,0.000738414,0.000738414
56,6000.4,1.35224,1.38293,1.9006,0.69439,0.70015,0.74371,0.416,1.51515,1.42393,1.97927,0.000712751,0.000712751,0.000712751
57,6104.29,1.3553,1.37335,1.90112,0.70602,0.67673,0.74246,0.41966,1.45252,1.40976,1.91479,0.000687214,0.000687214,0.000687214
58,6208.55,1.33303,1.36018,1.88146,0.75111,0.68569,0.76719,0.45838,1.43373,1.29293,1.90693,0.000661831,0.000661831,0.000661831
59,6311.52,1.32226,1.33867,1.87103,0.72986,0.68393,0.75379,0.44281,1.42995,1.29665,1.90119,0.000636625,0.000636625,0.000636625
60,6414.25,1.32736,1.32262,1.87925,0.75359,0.71145,0.77366,0.45246,1.43696,1.24338,1.90293,0.000611621,0.000611621,0.000611621
61,6516.87,1.31518,1.2955,1.85991,0.7497,0.69843,0.77871,0.46182,1.43698,1.22903,1.90066,0.000586845,0.000586845,0.000586845
62,6619.76,1.31404,1.30322,1.8573,0.78363,0.69589,0.78737,0.46104,1.42348,1.21919,1.87418,0.00056232,0.00056232,0.00056232
63,6722.41,1.3034,1.29469,1.84687,0.7566,0.70865,0.78305,0.46684,1.4302,1.22644,1.88357,0.000538072,0.000538072,0.000538072
64,6825.21,1.28981,1.25617,1.84567,0.7328,0.72404,0.78212,0.4637,1.39983,1.20135,1.85761,0.000514122,0.000514122,0.000514122
65,6927.77,1.28856,1.25223,1.83525,0.74116,0.71883,0.79613,0.48185,1.37878,1.1849,1.83135,0.000490497,0.000490497,0.000490497
66,7030.5,1.27826,1.24178,1.83115,0.80031,0.71062,0.80355,0.4768,1.41696,1.17141,1.8788,0.000467218,0.000467218,0.000467218
67,7133.14,1.26922,1.21845,1.82152,0.77169,0.72818,0.8023,0.4703,1.41975,1.19066,1.8654,0.000444309,0.000444309,0.000444309
68,7235.72,1.27198,1.21651,1.81913,0.79834,0.72629,0.81623,0.48235,1.415,1.15881,1.86719,0.000421792,0.000421792,0.000421792
69,7338.49,1.26009,1.19596,1.80652,0.80752,0.71138,0.80734,0.48759,1.39832,1.14777,1.85267,0.000399689,0.000399689,0.000399689
70,7441.2,1.24239,1.20349,1.78906,0.8011,0.72599,0.81443,0.49923,1.37418,1.17347,1.82633,0.000378023,0.000378023,0.000378023
71,7543.95,1.25034,1.174,1.80422,0.78399,0.72502,0.81188,0.4811,1.40588,1.13043,1.84956,0.000356815,0.000356815,0.000356815
72,7646.62,1.22919,1.15946,1.77157,0.79893,0.7367,0.82678,0.50521,1.37028,1.10444,1.81655,0.000336086,0.000336086,0.000336086
73,7749.79,1.22324,1.15244,1.77872,0.81365,0.73686,0.8223,0.50579,1.36796,1.08576,1.8159,0.000315855,0.000315855,0.000315855
74,7852.56,1.2294,1.14785,1.77199,0.80421,0.73426,0.82294,0.50638,1.37109,1.09424,1.81216,0.000296144,0.000296144,0.000296144
75,7955.32,1.22633,1.12338,1.76811,0.79635,0.74597,0.8305,0.51405,1.35481,1.09004,1.79638,0.000276971,0.000276971,0.000276971
76,8058.1,1.20278,1.11124,1.75329,0.77193,0.7454,0.81868,0.51031,1.34457,1.10114,1.7955,0.000258355,0.000258355,0.000258355
77,8160.77,1.20691,1.11568,1.75256,0.78672,0.75063,0.83022,0.52015,1.3423,1.05753,1.79444,0.000240316,0.000240316,0.000240316
78,8263.58,1.20856,1.11414,1.75213,0.81591,0.74013,0.83182,0.51853,1.35246,1.05672,1.79954,0.00022287,0.00022287,0.00022287
79,8366.3,1.2075,1.09772,1.74904,0.79629,0.75235,0.83339,0.52093,1.34257,1.06653,1.79292,0.000206034,0.000206034,0.000206034
